name of city heb,city eng,street heb,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,????? ????,,
??? ???             ,ABU GHOSH                ,???? ????,,
??? ???             ,ABU GHOSH                ,???????,,
??? ???             ,ABU GHOSH                ,????,,
??? ???             ,ABU GHOSH                ,????? ????,,
??? ???             ,ABU GHOSH                ,????? ????,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,????,,
??? ???             ,ABU GHOSH                ,??????,,
??? ???             ,ABU GHOSH                ,???? ???????,,
,,,,
??? ????            ,ABU SINAN                ,??? ????,,
??? ????            ,ABU SINAN                ,???-?????,,
??? ????            ,ABU SINAN                ,???? ??????,,
??? ????            ,ABU SINAN                ,?? ??????,,
??? ????            ,ABU SINAN                ,???'???,,
??? ????            ,ABU SINAN                ,???????,,
??? ????            ,ABU SINAN                ,???????,,
??? ????            ,ABU SINAN                ,?????? ? ???? ?????,,
??? ????            ,ABU SINAN                ,?????? ? ???? ?????,,
??? ????            ,ABU SINAN                ,?????,,
??? ????            ,ABU SINAN                ,???????,,
??? ????            ,ABU SINAN                ,???'???,,
??? ????            ,ABU SINAN                ,??????,,
??? ????            ,ABU SINAN                ,?????,,
??? ????            ,ABU SINAN                ,?????? ???????,,
??? ????            ,ABU SINAN                ,??? ????'???,,
??? ????            ,ABU SINAN                ,???? ????,,
??? ????            ,ABU SINAN                ,????? ???,,
??? ????            ,ABU SINAN                ,?????,,
??? ????            ,ABU SINAN                ,????? ??????,,
??? ????            ,ABU SINAN                ,??? ?????,,
??? ????            ,ABU SINAN                ,?? ???????,,
??? ????            ,ABU SINAN                ,????? ?????,,
??? ????            ,ABU SINAN                ,????? ????,,
,,,,
??? ?????? (???)    ,ABU SUREIHAN             ,??? ?????? (???),,
,,,,
??? ????? (???)     ,ABU  ABDUN               ,??? ????? (???),,
,,,,
??? ???? (???)      ,ABU  AMMAR               ,??? ???? (???),,
,,,,
??? ???? (???)      ,ABU  AMRE                ,??? ???? (???),,
,,,,
??? ??????? (???)   ,ABU QUREINAT             ,??? ??????? (???),,
??? ?????? (?????)  ,ABU QUREINAT             ,??? ?????? (?????),,
,,,,
??? ??????? (???)   ,ABU RUBEI'A              ,??? ??????? (???),,
??? ??????? (???)   ,ABU RUBEI'A              ,?? ?????,,
,,,,
??? ?????? (???)    ,ABU RUQAYYEQ             ,??? ??,,
??? ?????? (???)    ,ABU RUQAYYEQ             ,??? ????,,
??? ?????? (???)    ,ABU RUQAYYEQ             ,??? ?????? (???),,
??? ?????? (???)    ,ABU RUQAYYEQ             ,?????,,
,,,,
??? ????            ,ABU TULUL                ,??? ????,,
,,,,
?????               ,IBTIN                    ,?????,,
,,,,
???????             ,AVTALYON                 ,???????,,
,,,,
?????               ,AVI'EL                   ,?????,,
,,,,
??????              ,AVIVIM                   ,??????,,
,,,,
???????             ,AVIGEDOR                 ,???????,,
,,,,
??????              ,AVIHAYIL                 ,??????,,
??????              ,AVIHAYIL                 ,?? ???,,
??????              ,AVIHAYIL                 ,??? ???,,
??????              ,AVIHAYIL                 ,??? ?????,,
??????              ,AVIHAYIL                 ,?????,,
??????              ,AVIHAYIL                 ,????? ?????,,
??????              ,AVIHAYIL                 ,????,,
??????              ,AVIHAYIL                 ,?????,,
??????              ,AVIHAYIL                 ,??????,,
??????              ,AVIHAYIL                 ,??????,,
??????              ,AVIHAYIL                 ,"???""?",,
??????              ,AVIHAYIL                 ,???????,,
??????              ,AVIHAYIL                 ,"????""?",,
??????              ,AVIHAYIL                 ,?????,,
??????              ,AVIHAYIL                 ,???????,,
??????              ,AVIHAYIL                 ,?????,,
??????              ,AVIHAYIL                 ,?????,,
??????              ,AVIHAYIL                 ,????? ???????,,
??????              ,AVIHAYIL                 ,???? ??????,,
??????              ,AVIHAYIL                 ,??? ?????,,
??????              ,AVIHAYIL                 ,"??""?",,
??????              ,AVIHAYIL                 ,?? ?? ??????,,
??????              ,AVIHAYIL                 ,????????,,
??????              ,AVIHAYIL                 ,?? ??,,
,,,,
?????               ,AVITAL                   ,?????,,
,,,,
??????              ,AVI'EZER                 ,??????,,
,,,,
??????              ,ABBIRIM                  ,??????,,
,,,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,??? ?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,???,,
??? ?????           ,EVEN YEHUDA              ,???????,,
??? ?????           ,EVEN YEHUDA              ,???? ????,,
??? ?????           ,EVEN YEHUDA              ,???? ??????,,
??? ?????           ,EVEN YEHUDA              ,????? ??????,,
??? ?????           ,EVEN YEHUDA              ,???? ????,,
??? ?????           ,EVEN YEHUDA              ,????? ??????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,????? ????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,???,,
??? ?????           ,EVEN YEHUDA              ,???,,
??? ?????           ,EVEN YEHUDA              ,??? ????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,??? ??????,,
??? ?????           ,EVEN YEHUDA              ,??? ??????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,???????,,
??? ?????           ,EVEN YEHUDA              ,???? ?????,,
??? ?????           ,EVEN YEHUDA              ,???,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,??,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,??? ??? ?????,,
??? ?????           ,EVEN YEHUDA              ,??? ????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?????????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,????????,,
??? ?????           ,EVEN YEHUDA              ,???????,,
??? ?????           ,EVEN YEHUDA              ,????????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,???,,
??? ?????           ,EVEN YEHUDA              ,???????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,???,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,????????,,
??? ?????           ,EVEN YEHUDA              ,????????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,???????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,???????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,???????,,
??? ?????           ,EVEN YEHUDA              ,????????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,????????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,???????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,"????""?",,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,????????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,???????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,????? ?????,,
??? ?????           ,EVEN YEHUDA              ,???????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,??,,
??? ?????           ,EVEN YEHUDA              ,???,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,???? ?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,??? ????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,???? ??????,,
??? ?????           ,EVEN YEHUDA              ,???? ??????,,
??? ?????           ,EVEN YEHUDA              ,???? ??????,,
??? ?????           ,EVEN YEHUDA              ,???? ??????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,???? ???,,
??? ?????           ,EVEN YEHUDA              ,??? ??-??,,
??? ?????           ,EVEN YEHUDA              ,??? ???,,
??? ?????           ,EVEN YEHUDA              ,??? ????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,?? ?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,?? ????,,
??? ?????           ,EVEN YEHUDA              ,?? ??????,,
??? ?????           ,EVEN YEHUDA              ,?? ??????,,
??? ?????           ,EVEN YEHUDA              ,?? ???????,,
??? ?????           ,EVEN YEHUDA              ,?? ???????,,
??? ?????           ,EVEN YEHUDA              ,?? ??????,,
??? ?????           ,EVEN YEHUDA              ,?? ?????,,
??? ?????           ,EVEN YEHUDA              ,?? ??????,,
??? ?????           ,EVEN YEHUDA              ,?? ????,,
??? ?????           ,EVEN YEHUDA              ,???? ????,,
??? ?????           ,EVEN YEHUDA              ,???? ????,,
??? ?????           ,EVEN YEHUDA              ,???? ??,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,???????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,???????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,???,,
??? ?????           ,EVEN YEHUDA              ,"??""?",,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,???? ??????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,??? ?????,,
??? ?????           ,EVEN YEHUDA              ,???????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,??? ?? ??????,,
??? ?????           ,EVEN YEHUDA              ,??? ?????,,
??? ?????           ,EVEN YEHUDA              ,? ?????????,,
??? ?????           ,EVEN YEHUDA              ,? ???????,,
??? ?????           ,EVEN YEHUDA              ,? ??,,
??? ?????           ,EVEN YEHUDA              ,? ?????,,
??? ?????           ,EVEN YEHUDA              ,? ????,,
??? ?????           ,EVEN YEHUDA              ,? ??????,,
??? ?????           ,EVEN YEHUDA              ,? ??? ????,,
??? ?????           ,EVEN YEHUDA              ,? ????,,
??? ?????           ,EVEN YEHUDA              ,? ????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,???? ?????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,???,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,?? ?????,,
??? ?????           ,EVEN YEHUDA              ,?? ??? ????,,
??? ?????           ,EVEN YEHUDA              ,?? ???????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?? ????,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,???,,
??? ?????           ,EVEN YEHUDA              ,????,,
??? ?????           ,EVEN YEHUDA              ,??????,,
??? ?????           ,EVEN YEHUDA              ,?????,,
??? ?????           ,EVEN YEHUDA              ,?? ???,,
??? ?????           ,EVEN YEHUDA              ,????,,
,,,,
??? ????            ,EVEN MENAHEM             ,??? ????,,
,,,,
??? ????            ,EVEN SAPPIR              ,??? ????,,
??? ????            ,EVEN SAPPIR              ,???,,
??? ????            ,EVEN SAPPIR              ,????,,
??? ????            ,EVEN SAPPIR              ,????,,
??? ????            ,EVEN SAPPIR              ,????,,
??? ????            ,EVEN SAPPIR              ,?????,,
??? ????            ,EVEN SAPPIR              ,??????,,
??? ????            ,EVEN SAPPIR              ,?????,,
??? ????            ,EVEN SAPPIR              ,????,,
??? ????            ,EVEN SAPPIR              ,?????,,
??? ????            ,EVEN SAPPIR              ,???,,
??? ????            ,EVEN SAPPIR              ,???,,
??? ????            ,EVEN SAPPIR              ,????,,
,,,,
??? ?????           ,EVEN SHEMU'EL            ,??? ?????,,
,,,,
???? ????           ,AVNE ETAN                ,???? ????,,
,,,,
???? ???            ,AVNE HEFEZ               ,???? ???,,
???? ???            ,AVNE HEFEZ               ,????,,
???? ???            ,AVNE HEFEZ               ,???? ????,,
???? ???            ,AVNE HEFEZ               ,????,,
???? ???            ,AVNE HEFEZ               ,???? ????,,
???? ???            ,AVNE HEFEZ               ,????,,
???? ???            ,AVNE HEFEZ               ,"??? ???""?",,
???? ???            ,AVNE HEFEZ               ,?????,,
???? ???            ,AVNE HEFEZ               ,??????,,
???? ???            ,AVNE HEFEZ               ,?????,,
???? ???            ,AVNE HEFEZ               ,????,,
???? ???            ,AVNE HEFEZ               ,????,,
???? ???            ,AVNE HEFEZ               ,?????,,
???? ???            ,AVNE HEFEZ               ,????,,
???? ???            ,AVNE HEFEZ               ,?????,,
???? ???            ,AVNE HEFEZ               ,???,,
???? ???            ,AVNE HEFEZ               ,???? ???,,
???? ???            ,AVNE HEFEZ               ,????,,
???? ???            ,AVNE HEFEZ               ,???,,
???? ???            ,AVNE HEFEZ               ,?? ???? ????,,
???? ???            ,AVNE HEFEZ               ,????,,
,,,,
????                ,AVENAT                   ,????,,
,,,,
??????              ,AVSHALOM                 ,??????,,
??????              ,AVSHALOM                 ,?? ???????,,
,,,,
?????               ,ADORA                    ,?????,,
?????               ,ADORA                    ,?????,,
?????               ,ADORA                    ,????,,
?????               ,ADORA                    ,?????,,
?????               ,ADORA                    ,?????,,
,,,,
??????              ,ADDIRIM                  ,??????,,
,,,,
?????               ,ADAMIT                   ,?????,,
,,,,
????                ,ADDERET                  ,????,,
,,,,
?????               ,UDIM                     ,?????,,
?????               ,UDIM                     ,?????,,
?????               ,UDIM                     ,???????,,
?????               ,UDIM                     ,??????,,
?????               ,UDIM                     ,?????,,
?????               ,UDIM                     ,?????,,
?????               ,UDIM                     ,????,,
?????               ,UDIM                     ,????,,
?????               ,UDIM                     ,??????,,
?????               ,UDIM                     ,????,,
?????               ,UDIM                     ,?????,,
?????               ,UDIM                     ,????????,,
?????               ,UDIM                     ,??????,,
?????               ,UDIM                     ,??????,,
?????               ,UDIM                     ,??????,,
?????               ,UDIM                     ,?????,,
?????               ,UDIM                     ,??????,,
?????               ,UDIM                     ,?????,,
?????               ,UDIM                     ,?????,,
?????               ,UDIM                     ,?????,,
?????               ,UDIM                     ,?????,,
?????               ,UDIM                     ,????,,
?????               ,UDIM                     ,?? ?????,,
?????               ,UDIM                     ,?????,,
,,,,
????                ,ODEM                     ,????,,
,,,,
????                ,OHAD                     ,????,,
,,,,
??? ??-???          ,UMM AL-FAHM              ,??? ???,,
??? ??-???          ,UMM AL-FAHM              ,??? ?'? ???'????,,
??? ??-???          ,UMM AL-FAHM              ,??? ??????,,
??? ??-???          ,UMM AL-FAHM              ,??? ?????,,
??? ??-???          ,UMM AL-FAHM              ,??? ?????,,
??? ??-???          ,UMM AL-FAHM              ,??? ????,,
??? ??-???          ,UMM AL-FAHM              ,??? ?????,,
??? ??-???          ,UMM AL-FAHM              ,??? ??????,,
??? ??-???          ,UMM AL-FAHM              ,??? ???'????,,
??? ??-???          ,UMM AL-FAHM              ,??? ??????,,
??? ??-???          ,UMM AL-FAHM              ,??? ??????,,
??? ??-???          ,UMM AL-FAHM              ,??? ??????,,
??? ??-???          ,UMM AL-FAHM              ,??? ?????,,
??? ??-???          ,UMM AL-FAHM              ,??? ??????,,
??? ??-???          ,UMM AL-FAHM              ,??? ?'????,,
??? ??-???          ,UMM AL-FAHM              ,??? ???,,
??? ??-???          ,UMM AL-FAHM              ,??? ??'??,,
??? ??-???          ,UMM AL-FAHM              ,??? ????,,
??? ??-???          ,UMM AL-FAHM              ,??? ?????,,
??? ??-???          ,UMM AL-FAHM              ,??? ????,,
??? ??-???          ,UMM AL-FAHM              ,??? ?????,,
??? ??-???          ,UMM AL-FAHM              ,??? ????,,
??? ??-???          ,UMM AL-FAHM              ,??? ???,,
??? ??-???          ,UMM AL-FAHM              ,??? ?????,,
??? ??-???          ,UMM AL-FAHM              ,??? ??-???,,
??? ??-???          ,UMM AL-FAHM              ,??? ??????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,???? ??? ????,,
??? ??-???          ,UMM AL-FAHM              ,????,,
??? ??-???          ,UMM AL-FAHM              ,??-?????,,
??? ??-???          ,UMM AL-FAHM              ,??-????,,
??? ??-???          ,UMM AL-FAHM              ,??-?'???,,
??? ??-???          ,UMM AL-FAHM              ,??-???,,
??? ??-???          ,UMM AL-FAHM              ,??-??????,,
??? ??-???          ,UMM AL-FAHM              ,??-?????,,
??? ??-???          ,UMM AL-FAHM              ,??-?????,,
??? ??-???          ,UMM AL-FAHM              ,??-????,,
??? ??-???          ,UMM AL-FAHM              ,??-??????,,
??? ??-???          ,UMM AL-FAHM              ,??-????,,
??? ??-???          ,UMM AL-FAHM              ,??-????',,
??? ??-???          ,UMM AL-FAHM              ,??-???,,
??? ??-???          ,UMM AL-FAHM              ,????'?????,,
??? ??-???          ,UMM AL-FAHM              ,????'???,,
??? ??-???          ,UMM AL-FAHM              ,?????,,
??? ??-???          ,UMM AL-FAHM              ,????????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,?????'???,,
??? ??-???          ,UMM AL-FAHM              ,?????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,????????,,
??? ??-???          ,UMM AL-FAHM              ,????'???,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,????????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,?????,,
??? ??-???          ,UMM AL-FAHM              ,????????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,???'?????,,
??? ??-???          ,UMM AL-FAHM              ,???'???,,
??? ??-???          ,UMM AL-FAHM              ,???'???,,
??? ??-???          ,UMM AL-FAHM              ,?????? ??????,,
??? ??-???          ,UMM AL-FAHM              ,?????? ??????,,
??? ??-???          ,UMM AL-FAHM              ,???'??,,
??? ??-???          ,UMM AL-FAHM              ,???'???,,
??? ??-???          ,UMM AL-FAHM              ,????'??,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,???'??????,,
??? ??-???          ,UMM AL-FAHM              ,???'???,,
??? ??-???          ,UMM AL-FAHM              ,???'????,,
??? ??-???          ,UMM AL-FAHM              ,???'???,,
??? ??-???          ,UMM AL-FAHM              ,????????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,????????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,????????,,
??? ??-???          ,UMM AL-FAHM              ,?????'?,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,?????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,????'?,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,????????,,
??? ??-???          ,UMM AL-FAHM              ,????????,,
??? ??-???          ,UMM AL-FAHM              ,????????,,
??? ??-???          ,UMM AL-FAHM              ,??????'??,,
??? ??-???          ,UMM AL-FAHM              ,????????,,
??? ??-???          ,UMM AL-FAHM              ,?????'?,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,??????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,????????,,
??? ??-???          ,UMM AL-FAHM              ,????????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,?????,,
??? ??-???          ,UMM AL-FAHM              ,????'??,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,???????,,
??? ??-???          ,UMM AL-FAHM              ,?????'?,,
